,state,x,y
0,Andaman And Nicobar,226,-222
1,Andhra Pradesh,-85,-154
2,Arunachal Pradesh,229,152
3,Assam,195,100
4,Bihar,62,86
5,Chhattisgarh,-16,-10
6,Delhi,-103,156
7,Goa,-184,-148
8,Gujarat,-228,31
9,Haryana,-132,171
10,Himachal Pradesh,-101,229
11,Jammu And Kashmir,-100,289
12,Jharkhand,55,44
13,Karnataka,-150,-174
14,Kerala,-134,-285
15,Madhya Pradesh,-97,26
16,Maharashtra,-150,-55
17,Manipur,233,69
18,Meghalaya,165,83
19,Mizoram,215,36
20,Nagaland,244,105
21,Odisha,43,-29
22,Punjab,-142,204
23,Rajasthan,-194,111
24,Sikkim,119,132
25,Tamil Nadu,-98,-246
26,Telangana,-78,-91
27,Tripura,183,44
28,Uttar Pradesh,-43,116
29,Uttarakhand,-61,190
30,West Bengal,106,33
